Bande1,Bande2,Multiplicateur,Tolérance,Valeur
noir,orange,argent,or,0.03
noir,orange,argent,argent,0.03
noir,jaune,noir,or,4.0
noir,jaune,noir,argent,4.0
noir,jaune,marron,or,40.0
noir,jaune,marron,argent,40.0
noir,jaune,rouge,or,400.0
noir,jaune,rouge,argent,400.0
noir,jaune,orange,or,4000.0
noir,jaune,orange,argent,4000.0
noir,jaune,jaune,or,40000.0
noir,jaune,jaune,argent,40000.0
noir,jaune,vert,or,400000.0
noir,jaune,vert,argent,400000.0
noir,jaune,bleu,or,4000000.0
noir,jaune,bleu,argent,4000000.0
noir,jaune,violet,or,40000000.0
noir,jaune,violet,argent,40000000.0
noir,jaune,or,or,0.4
noir,jaune,or,argent,0.4
noir,jaune,argent,or,0.04
noir,jaune,argent,argent,0.04
noir,vert,noir,or,5.0
noir,vert,noir,argent,5.0
noir,vert,marron,or,50.0
noir,vert,marron,argent,50.0
noir,vert,rouge,or,500.0
noir,vert,rouge,argent,500.0
noir,vert,orange,or,5000.0
noir,vert,orange,argent,5000.0
noir,vert,jaune,or,50000.0
noir,vert,jaune,argent,50000.0
noir,vert,vert,or,500000.0
noir,vert,vert,argent,500000.0
noir,vert,bleu,or,5000000.0
noir,vert,bleu,argent,5000000.0
noir,vert,violet,or,50000000.0
noir,vert,violet,argent,50000000.0
noir,vert,or,or,0.5
noir,vert,or,argent,0.5
noir,vert,argent,or,0.05
noir,vert,argent,argent,0.05
noir,bleu,noir,or,6.0
noir,bleu,noir,argent,6.0
noir,bleu,marron,or,60.0
noir,bleu,marron,argent,60.0
noir,bleu,rouge,or,600.0
noir,bleu,rouge,argent,600.0
noir,bleu,orange,or,6000.0
noir,bleu,orange,argent,6000.0
noir,bleu,jaune,or,60000.0
noir,bleu,jaune,argent,60000.0
noir,bleu,vert,or,600000.0
noir,bleu,vert,argent,600000.0
noir,bleu,bleu,or,6000000.0
noir,bleu,bleu,argent,6000000.0
noir,bleu,violet,or,60000000.0
noir,bleu,violet,argent,60000000.0
noir,bleu,or,or,0.6000000000000001
noir,bleu,or,argent,0.6000000000000001
noir,bleu,argent,or,0.06
noir,bleu,argent,argent,0.06
noir,violet,noir,or,7.0
noir,violet,noir,argent,7.0
noir,violet,marron,or,70.0
noir,violet,marron,argent,70.0
noir,violet,rouge,or,700.0
noir,violet,rouge,argent,700.0
noir,violet,orange,or,7000.0
noir,violet,orange,argent,7000.0
noir,violet,jaune,or,70000.0
noir,violet,jaune,argent,70000.0
noir,violet,vert,or,700000.0
noir,violet,vert,argent,700000.0
noir,violet,bleu,or,7000000.0
noir,violet,bleu,argent,7000000.0
noir,violet,violet,or,70000000.0
noir,violet,violet,argent,70000000.0
noir,violet,or,or,0.7000000000000001
noir,violet,or,argent,0.7000000000000001
noir,violet,argent,or,0.07
noir,violet,argent,argent,0.07
noir,gris,noir,or,8.0
noir,gris,noir,argent,8.0
noir,gris,marron,or,80.0
noir,gris,marron,argent,80.0
noir,gris,rouge,or,800.0
noir,gris,rouge,argent,800.0
noir,gris,orange,or,8000.0
noir,gris,orange,argent,8000.0
noir,gris,jaune,or,80000.0
noir,gris,jaune,argent,80000.0
noir,gris,vert,or,800000.0
noir,gris,vert,argent,800000.0
noir,gris,bleu,or,8000000.0
noir,gris,bleu,argent,8000000.0
noir,gris,violet,or,80000000.0
noir,gris,violet,argent,80000000.0
noir,gris,or,or,0.8
noir,gris,or,argent,0.8
noir,gris,argent,or,0.08
noir,gris,argent,argent,0.08
noir,blanc,noir,or,9.0
noir,blanc,noir,argent,9.0
noir,blanc,marron,or,90.0
noir,blanc,marron,argent,90.0
noir,blanc,rouge,or,900.0
noir,blanc,rouge,argent,900.0
noir,blanc,orange,or,9000.0
noir,blanc,orange,argent,9000.0
noir,blanc,jaune,or,90000.0
noir,blanc,jaune,argent,90000.0
noir,blanc,vert,or,900000.0
noir,blanc,vert,argent,900000.0
noir,blanc,bleu,or,9000000.0
noir,blanc,bleu,argent,9000000.0
noir,blanc,violet,or,90000000.0
noir,blanc,violet,argent,90000000.0
noir,blanc,or,or,0.9
noir,blanc,or,argent,0.9
noir,blanc,argent,or,0.09
noir,blanc,argent,argent,0.09
marron,noir,noir,or,10.0
marron,noir,noir,argent,10.0
marron,noir,marron,or,100.0
marron,noir,marron,argent,100.0
marron,noir,rouge,or,1000.0
marron,noir,rouge,argent,1000.0
marron,noir,orange,or,10000.0
marron,noir,orange,argent,10000.0
marron,noir,jaune,or,100000.0
marron,noir,jaune,argent,100000.0
marron,noir,vert,or,1000000.0
marron,noir,vert,argent,1000000.0
marron,noir,bleu,or,10000000.0
marron,noir,bleu,argent,10000000.0
marron,noir,violet,or,100000000.0
marron,noir,violet,argent,100000000.0
marron,noir,or,or,1.0
marron,noir,or,argent,1.0
marron,noir,argent,or,0.1
marron,noir,argent,argent,0.1
marron,marron,noir,or,11.0
marron,marron,noir,argent,11.0
marron,marron,marron,or,110.0
marron,marron,marron,argent,110.0
marron,marron,rouge,or,1100.0
marron,marron,rouge,argent,1100.0
marron,marron,orange,or,11000.0
marron,marron,orange,argent,11000.0
marron,marron,jaune,or,110000.0
marron,marron,jaune,argent,110000.0
marron,marron,vert,or,1100000.0
marron,marron,vert,argent,1100000.0
marron,marron,bleu,or,11000000.0
marron,marron,bleu,argent,11000000.0
marron,marron,violet,or,110000000.0
marron,marron,violet,argent,110000000.0
marron,marron,or,or,1.1
marron,marron,or,argent,1.1
marron,marron,argent,or,0.11
marron,marron,argent,argent,0.11
marron,rouge,noir,or,12.0
marron,rouge,noir,argent,12.0
marron,rouge,marron,or,120.0
marron,rouge,marron,argent,120.0
marron,rouge,rouge,or,1200.0
marron,rouge,rouge,argent,1200.0
marron,rouge,orange,or,12000.0
marron,rouge,orange,argent,12000.0
marron,rouge,jaune,or,120000.0
marron,rouge,jaune,argent,120000.0
marron,rouge,vert,or,1200000.0
marron,rouge,vert,argent,1200000.0
marron,rouge,bleu,or,12000000.0
marron,rouge,bleu,argent,12000000.0
marron,rouge,violet,or,120000000.0
marron,rouge,violet,argent,120000000.0
marron,rouge,or,or,1.2000000000000002
marron,rouge,or,argent,1.2000000000000002
marron,rouge,argent,or,0.12
marron,rouge,argent,argent,0.12
marron,orange,noir,or,13.0
marron,orange,noir,argent,13.0
marron,orange,marron,or,130.0
marron,orange,marron,argent,130.0
marron,orange,rouge,or,1300.0
marron,orange,rouge,argent,1300.0
marron,orange,orange,or,13000.0
marron,orange,orange,argent,13000.0
marron,orange,jaune,or,130000.0
marron,orange,jaune,argent,130000.0
marron,orange,vert,or,1300000.0
marron,orange,vert,argent,1300000.0
marron,orange,bleu,or,13000000.0
marron,orange,bleu,argent,13000000.0
marron,orange,violet,or,130000000.0
marron,orange,violet,argent,130000000.0
marron,orange,or,or,1.3
marron,orange,or,argent,1.3
marron,orange,argent,or,0.13
marron,orange,argent,argent,0.13
marron,jaune,noir,or,14.0
marron,jaune,noir,argent,14.0
marron,jaune,marron,or,140.0
marron,jaune,marron,argent,140.0
marron,jaune,rouge,or,1400.0
marron,jaune,rouge,argent,1400.0
marron,jaune,orange,or,14000.0
marron,jaune,orange,argent,14000.0
marron,jaune,jaune,or,140000.0
marron,jaune,jaune,argent,140000.0
marron,jaune,vert,or,1400000.0
marron,jaune,vert,argent,1400000.0
marron,jaune,bleu,or,14000000.0
marron,jaune,bleu,argent,14000000.0
marron,jaune,violet,or,140000000.0
marron,jaune,violet,argent,140000000.0
marron,jaune,or,or,1.4000000000000001
marron,jaune,or,argent,1.4000000000000001
marron,jaune,argent,or,0.14
marron,jaune,argent,argent,0.14
marron,vert,noir,or,15.0
marron,vert,noir,argent,15.0
marron,vert,marron,or,150.0
marron,vert,marron,argent,150.0
marron,vert,rouge,or,1500.0
marron,vert,rouge,argent,1500.0
marron,vert,orange,or,15000.0
marron,vert,orange,argent,15000.0
marron,vert,jaune,or,150000.0
marron,vert,jaune,argent,150000.0
marron,vert,vert,or,1500000.0
marron,vert,vert,argent,1500000.0
marron,vert,bleu,or,15000000.0
marron,vert,bleu,argent,15000000.0
marron,vert,violet,or,150000000.0
marron,vert,violet,argent,150000000.0
marron,vert,or,or,1.5
marron,vert,or,argent,1.5
marron,vert,argent,or,0.15
marron,vert,argent,argent,0.15
marron,bleu,noir,or,16.0
marron,bleu,noir,argent,16.0
marron,bleu,marron,or,160.0
marron,bleu,marron,argent,160.0
marron,bleu,rouge,or,1600.0
marron,bleu,rouge,argent,1600.0
marron,bleu,orange,or,16000.0
marron,bleu,orange,argent,16000.0
marron,bleu,jaune,or,160000.0
marron,bleu,jaune,argent,160000.0
marron,bleu,vert,or,1600000.0
marron,bleu,vert,argent,1600000.0
marron,bleu,bleu,or,16000000.0
marron,bleu,bleu,argent,16000000.0
marron,bleu,violet,or,160000000.0
marron,bleu,violet,argent,160000000.0
marron,bleu,or,or,1.6
marron,bleu,or,argent,1.6
marron,bleu,argent,or,0.16
marron,bleu,argent,argent,0.16
marron,violet,noir,or,17.0
marron,violet,noir,argent,17.0
marron,violet,marron,or,170.0
marron,violet,marron,argent,170.0
marron,violet,rouge,or,1700.0
marron,violet,rouge,argent,1700.0
marron,violet,orange,or,17000.0
marron,violet,orange,argent,17000.0
marron,violet,jaune,or,170000.0
marron,violet,jaune,argent,170000.0
marron,violet,vert,or,1700000.0
marron,violet,vert,argent,1700000.0
marron,violet,bleu,or,17000000.0
marron,violet,bleu,argent,17000000.0
marron,violet,violet,or,170000000.0
marron,violet,violet,argent,170000000.0
marron,violet,or,or,1.7000000000000002
marron,violet,or,argent,1.7000000000000002
marron,violet,argent,or,0.17
marron,violet,argent,argent,0.17
marron,gris,noir,or,18.0
marron,gris,noir,argent,18.0
marron,gris,marron,or,180.0
marron,gris,marron,argent,180.0
marron,gris,rouge,or,1800.0
marron,gris,rouge,argent,1800.0
marron,gris,orange,or,18000.0
marron,gris,orange,argent,18000.0
marron,gris,jaune,or,180000.0
marron,gris,jaune,argent,180000.0
marron,gris,vert,or,1800000.0
marron,gris,vert,argent,1800000.0
marron,gris,bleu,or,18000000.0
marron,gris,bleu,argent,18000000.0
marron,gris,violet,or,180000000.0
marron,gris,violet,argent,180000000.0
marron,gris,or,or,1.8
marron,gris,or,argent,1.8
marron,gris,argent,or,0.18
marron,gris,argent,argent,0.18
marron,blanc,noir,or,19.0
marron,blanc,noir,argent,19.0
marron,blanc,marron,or,190.0
marron,blanc,marron,argent,190.0
marron,blanc,rouge,or,1900.0
marron,blanc,rouge,argent,1900.0
marron,blanc,orange,or,19000.0
marron,blanc,orange,argent,19000.0
marron,blanc,jaune,or,190000.0
marron,blanc,jaune,argent,190000.0
marron,blanc,vert,or,1900000.0
marron,blanc,vert,argent,1900000.0
marron,blanc,bleu,or,19000000.0
marron,blanc,bleu,argent,19000000.0
marron,blanc,violet,or,190000000.0
marron,blanc,violet,argent,190000000.0
marron,blanc,or,or,1.9000000000000001
marron,blanc,or,argent,1.9000000000000001
marron,blanc,argent,or,0.19
marron,blanc,argent,argent,0.19
rouge,noir,noir,or,20.0
rouge,noir,noir,argent,20.0
rouge,noir,marron,or,200.0
rouge,noir,marron,argent,200.0
rouge,noir,rouge,or,2000.0
rouge,noir,rouge,argent,2000.0
rouge,noir,orange,or,20000.0
rouge,noir,orange,argent,20000.0
rouge,noir,jaune,or,200000.0
rouge,noir,jaune,argent,200000.0
rouge,noir,vert,or,2000000.0
rouge,noir,vert,argent,2000000.0
rouge,noir,bleu,or,20000000.0
rouge,noir,bleu,argent,20000000.0
rouge,noir,violet,or,200000000.0
rouge,noir,violet,argent,200000000.0
rouge,noir,or,or,2.0
rouge,noir,or,argent,2.0
rouge,noir,argent,or,0.2
rouge,noir,argent,argent,0.2
rouge,marron,noir,or,21.0
rouge,marron,noir,argent,21.0
rouge,marron,marron,or,210.0
rouge,marron,marron,argent,210.0
rouge,marron,rouge,or,2100.0
rouge,marron,rouge,argent,2100.0
rouge,marron,orange,or,21000.0
rouge,marron,orange,argent,21000.0
rouge,marron,jaune,or,210000.0
rouge,marron,jaune,argent,210000.0
rouge,marron,vert,or,2100000.0
rouge,marron,vert,argent,2100000.0
rouge,marron,bleu,or,21000000.0
rouge,marron,bleu,argent,21000000.0
rouge,marron,violet,or,210000000.0
rouge,marron,violet,argent,210000000.0
rouge,marron,or,or,2.1
rouge,marron,or,argent,2.1
rouge,marron,argent,or,0.21
rouge,marron,argent,argent,0.21
rouge,rouge,noir,or,22.0
rouge,rouge,noir,argent,22.0
rouge,rouge,marron,or,220.0
rouge,rouge,marron,argent,220.0
rouge,rouge,rouge,or,2200.0
rouge,rouge,rouge,argent,2200.0
rouge,rouge,orange,or,22000.0
rouge,rouge,orange,argent,22000.0
rouge,rouge,jaune,or,220000.0
rouge,rouge,jaune,argent,220000.0
rouge,rouge,vert,or,2200000.0
rouge,rouge,vert,argent,2200000.0
rouge,rouge,bleu,or,22000000.0
rouge,rouge,bleu,argent,22000000.0
rouge,rouge,violet,or,220000000.0
rouge,rouge,violet,argent,220000000.0
rouge,rouge,or,or,2.2
rouge,rouge,or,argent,2.2
rouge,rouge,argent,or,0.22
rouge,rouge,argent,argent,0.22
rouge,orange,noir,or,23.0
rouge,orange,noir,argent,23.0
rouge,orange,marron,or,230.0
rouge,orange,marron,argent,230.0
rouge,orange,rouge,or,2300.0
rouge,orange,rouge,argent,2300.0
rouge,orange,orange,or,23000.0
rouge,orange,orange,argent,23000.0
rouge,orange,jaune,or,230000.0
rouge,orange,jaune,argent,230000.0
rouge,orange,vert,or,2300000.0
rouge,orange,vert,argent,2300000.0
rouge,orange,bleu,or,23000000.0
rouge,orange,bleu,argent,23000000.0
rouge,orange,violet,or,230000000.0
rouge,orange,violet,argent,230000000.0
rouge,orange,or,or,2.3000000000000003
rouge,orange,or,argent,2.3000000000000003
rouge,orange,argent,or,0.23
rouge,orange,argent,argent,0.23
rouge,jaune,noir,or,24.0
rouge,jaune,noir,argent,24.0
rouge,jaune,marron,or,240.0
rouge,jaune,marron,argent,240.0
rouge,jaune,rouge,or,2400.0
rouge,jaune,rouge,argent,2400.0
rouge,jaune,orange,or,24000.0
rouge,jaune,orange,argent,24000.0
rouge,jaune,jaune,or,240000.0
rouge,jaune,jaune,argent,240000.0
rouge,jaune,vert,or,2400000.0
rouge,jaune,vert,argent,2400000.0
rouge,jaune,bleu,or,24000000.0
rouge,jaune,bleu,argent,24000000.0
rouge,jaune,violet,or,240000000.0
rouge,jaune,violet,argent,240000000.0
rouge,jaune,or,or,2.4000000000000004
rouge,jaune,or,argent,2.4000000000000004
rouge,jaune,argent,or,0.24
rouge,jaune,argent,argent,0.24
rouge,vert,noir,or,25.0
rouge,vert,noir,argent,25.0
rouge,vert,marron,or,250.0
rouge,vert,marron,argent,250.0
rouge,vert,rouge,or,2500.0
rouge,vert,rouge,argent,2500.0
rouge,vert,orange,or,25000.0
rouge,vert,orange,argent,25000.0
rouge,vert,jaune,or,250000.0
rouge,vert,jaune,argent,250000.0
rouge,vert,vert,or,2500000.0
rouge,vert,vert,argent,2500000.0
rouge,vert,bleu,or,25000000.0
rouge,vert,bleu,argent,25000000.0
rouge,vert,violet,or,250000000.0
rouge,vert,violet,argent,250000000.0
rouge,vert,or,or,2.5
rouge,vert,or,argent,2.5
rouge,vert,argent,or,0.25
rouge,vert,argent,argent,0.25
rouge,bleu,noir,or,26.0
rouge,bleu,noir,argent,26.0
rouge,bleu,marron,or,260.0
rouge,bleu,marron,argent,260.0
rouge,bleu,rouge,or,2600.0
rouge,bleu,rouge,argent,2600.0
rouge,bleu,orange,or,26000.0
rouge,bleu,orange,argent,26000.0
rouge,bleu,jaune,or,260000.0
rouge,bleu,jaune,argent,260000.0
rouge,bleu,vert,or,2600000.0
rouge,bleu,vert,argent,2600000.0
rouge,bleu,bleu,or,26000000.0
rouge,bleu,bleu,argent,26000000.0
rouge,bleu,violet,or,260000000.0
rouge,bleu,violet,argent,260000000.0
rouge,bleu,or,or,2.6
rouge,bleu,or,argent,2.6
rouge,bleu,argent,or,0.26
rouge,bleu,argent,argent,0.26
rouge,violet,noir,or,27.0
rouge,violet,noir,argent,27.0
rouge,violet,marron,or,270.0
rouge,violet,marron,argent,270.0
rouge,violet,rouge,or,2700.0
rouge,violet,rouge,argent,2700.0
rouge,violet,orange,or,27000.0
rouge,violet,orange,argent,27000.0
rouge,violet,jaune,or,270000.0
rouge,violet,jaune,argent,270000.0
rouge,violet,vert,or,2700000.0
rouge,violet,vert,argent,2700000.0
rouge,violet,bleu,or,27000000.0
rouge,violet,bleu,argent,27000000.0
rouge,violet,violet,or,270000000.0
rouge,violet,violet,argent,270000000.0
rouge,violet,or,or,2.7
rouge,violet,or,argent,2.7
rouge,violet,argent,or,0.27
rouge,violet,argent,argent,0.27
rouge,gris,noir,or,28.0
rouge,gris,noir,argent,28.0
rouge,gris,marron,or,280.0
rouge,gris,marron,argent,280.0
rouge,gris,rouge,or,2800.0
rouge,gris,rouge,argent,2800.0
rouge,gris,orange,or,28000.0
rouge,gris,orange,argent,28000.0
rouge,gris,jaune,or,280000.0
rouge,gris,jaune,argent,280000.0
rouge,gris,vert,or,2800000.0
rouge,gris,vert,argent,2800000.0
rouge,gris,bleu,or,28000000.0
rouge,gris,bleu,argent,28000000.0
rouge,gris,violet,or,280000000.0
rouge,gris,violet,argent,280000000.0
rouge,gris,or,or,2.8000000000000003
rouge,gris,or,argent,2.8000000000000003
rouge,gris,argent,or,0.28
rouge,gris,argent,argent,0.28
rouge,blanc,noir,or,29.0
rouge,blanc,noir,argent,29.0
rouge,blanc,marron,or,290.0
rouge,blanc,marron,argent,290.0
rouge,blanc,rouge,or,2900.0
rouge,blanc,rouge,argent,2900.0
rouge,blanc,orange,or,29000.0
rouge,blanc,orange,argent,29000.0
rouge,blanc,jaune,or,290000.0
rouge,blanc,jaune,argent,290000.0
rouge,blanc,vert,or,2900000.0
rouge,blanc,vert,argent,2900000.0
rouge,blanc,bleu,or,29000000.0
rouge,blanc,bleu,argent,29000000.0
rouge,blanc,violet,or,290000000.0
rouge,blanc,violet,argent,290000000.0
rouge,blanc,or,or,2.9000000000000004
rouge,blanc,or,argent,2.9000000000000004
rouge,blanc,argent,or,0.29
rouge,blanc,argent,argent,0.29
orange,noir,noir,or,30.0
orange,noir,noir,argent,30.0
orange,noir,marron,or,300.0
orange,noir,marron,argent,300.0
orange,noir,rouge,or,3000.0
orange,noir,rouge,argent,3000.0
orange,noir,orange,or,30000.0
orange,noir,orange,argent,30000.0
orange,noir,jaune,or,300000.0
orange,noir,jaune,argent,300000.0
orange,noir,vert,or,3000000.0
orange,noir,vert,argent,3000000.0
orange,noir,bleu,or,30000000.0
orange,noir,bleu,argent,30000000.0
orange,noir,violet,or,300000000.0
orange,noir,violet,argent,300000000.0
orange,noir,or,or,3.0
orange,noir,or,argent,3.0
orange,noir,argent,or,0.3
orange,noir,argent,argent,0.3
orange,marron,noir,or,31.0
orange,marron,noir,argent,31.0
orange,marron,marron,or,310.0
orange,marron,marron,argent,310.0
orange,marron,rouge,or,3100.0
orange,marron,rouge,argent,3100.0
orange,marron,orange,or,31000.0
orange,marron,orange,argent,31000.0
orange,marron,jaune,or,310000.0
orange,marron,jaune,argent,310000.0
orange,marron,vert,or,3100000.0
orange,marron,vert,argent,3100000.0
orange,marron,bleu,or,31000000.0
orange,marron,bleu,argent,31000000.0
orange,marron,violet,or,310000000.0
orange,marron,violet,argent,310000000.0
orange,marron,or,or,3.1
orange,marron,or,argent,3.1
orange,marron,argent,or,0.31
orange,marron,argent,argent,0.31
orange,rouge,noir,or,32.0
orange,rouge,noir,argent,32.0
orange,rouge,marron,or,320.0
orange,rouge,marron,argent,320.0
orange,rouge,rouge,or,3200.0
orange,rouge,rouge,argent,3200.0
orange,rouge,orange,or,32000.0
orange,rouge,orange,argent,32000.0
orange,rouge,jaune,or,320000.0
orange,rouge,jaune,argent,320000.0
orange,rouge,vert,or,3200000.0
orange,rouge,vert,argent,3200000.0
orange,rouge,bleu,or,32000000.0
orange,rouge,bleu,argent,32000000.0
orange,rouge,violet,or,320000000.0
orange,rouge,violet,argent,320000000.0
orange,rouge,or,or,3.2
orange,rouge,or,argent,3.2
orange,rouge,argent,or,0.32
orange,rouge,argent,argent,0.32
orange,orange,noir,or,33.0
orange,orange,noir,argent,33.0
orange,orange,marron,or,330.0
orange,orange,marron,argent,330.0
orange,orange,rouge,or,3300.0
orange,orange,rouge,argent,3300.0
orange,orange,orange,or,33000.0
orange,orange,orange,argent,33000.0
orange,orange,jaune,or,330000.0
orange,orange,jaune,argent,330000.0
orange,orange,vert,or,3300000.0
orange,orange,vert,argent,3300000.0
orange,orange,bleu,or,33000000.0
orange,orange,bleu,argent,33000000.0
orange,orange,violet,or,330000000.0
orange,orange,violet,argent,330000000.0
orange,orange,or,or,3.3000000000000003
orange,orange,or,argent,3.3000000000000003
orange,orange,argent,or,0.33
orange,orange,argent,argent,0.33
orange,jaune,noir,or,34.0
orange,jaune,noir,argent,34.0
orange,jaune,marron,or,340.0
orange,jaune,marron,argent,340.0
orange,jaune,rouge,or,3400.0
orange,jaune,rouge,argent,3400.0
orange,jaune,orange,or,34000.0
orange,jaune,orange,argent,34000.0
orange,jaune,jaune,or,340000.0
orange,jaune,jaune,argent,340000.0
orange,jaune,vert,or,3400000.0
orange,jaune,vert,argent,3400000.0
orange,jaune,bleu,or,34000000.0
orange,jaune,bleu,argent,34000000.0
orange,jaune,violet,or,340000000.0
orange,jaune,violet,argent,340000000.0
orange,jaune,or,or,3.4000000000000004
orange,jaune,or,argent,3.4000000000000004
orange,jaune,argent,or,0.34
orange,jaune,argent,argent,0.34
orange,vert,noir,or,35.0
orange,vert,noir,argent,35.0
orange,vert,marron,or,350.0
orange,vert,marron,argent,350.0
orange,vert,rouge,or,3500.0
orange,vert,rouge,argent,3500.0
orange,vert,orange,or,35000.0
orange,vert,orange,argent,35000.0
orange,vert,jaune,or,350000.0
orange,vert,jaune,argent,350000.0
orange,vert,vert,or,3500000.0
orange,vert,vert,argent,3500000.0
orange,vert,bleu,or,35000000.0
orange,vert,bleu,argent,35000000.0
orange,vert,violet,or,350000000.0
orange,vert,violet,argent,350000000.0
orange,vert,or,or,3.5
orange,vert,or,argent,3.5
orange,vert,argent,or,0.35000000000000003
orange,vert,argent,argent,0.35000000000000003
orange,bleu,noir,or,36.0
orange,bleu,noir,argent,36.0
orange,bleu,marron,or,360.0
orange,bleu,marron,argent,360.0
orange,bleu,rouge,or,3600.0
orange,bleu,rouge,argent,3600.0
orange,bleu,orange,or,36000.0
orange,bleu,orange,argent,36000.0
orange,bleu,jaune,or,360000.0
orange,bleu,jaune,argent,360000.0
orange,bleu,vert,or,3600000.0
orange,bleu,vert,argent,3600000.0
orange,bleu,bleu,or,36000000.0
orange,bleu,bleu,argent,36000000.0
orange,bleu,violet,or,360000000.0
orange,bleu,violet,argent,360000000.0
orange,bleu,or,or,3.6
orange,bleu,or,argent,3.6
orange,bleu,argent,or,0.36
orange,bleu,argent,argent,0.36
orange,violet,noir,or,37.0
orange,violet,noir,argent,37.0
orange,violet,marron,or,370.0
orange,violet,marron,argent,370.0
orange,violet,rouge,or,3700.0
orange,violet,rouge,argent,3700.0
orange,violet,orange,or,37000.0
orange,violet,orange,argent,37000.0
orange,violet,jaune,or,370000.0
orange,violet,jaune,argent,370000.0
orange,violet,vert,or,3700000.0
orange,violet,vert,argent,3700000.0
orange,violet,bleu,or,37000000.0
orange,violet,bleu,argent,37000000.0
orange,violet,violet,or,370000000.0
orange,violet,violet,argent,370000000.0
orange,violet,or,or,3.7
orange,violet,or,argent,3.7
orange,violet,argent,or,0.37
orange,violet,argent,argent,0.37
orange,gris,noir,or,38.0
orange,gris,noir,argent,38.0
orange,gris,marron,or,380.0
orange,gris,marron,argent,380.0
orange,gris,rouge,or,3800.0
orange,gris,rouge,argent,3800.0
orange,gris,orange,or,38000.0
orange,gris,orange,argent,38000.0
orange,gris,jaune,or,380000.0
orange,gris,jaune,argent,380000.0
orange,gris,vert,or,3800000.0
orange,gris,vert,argent,3800000.0
orange,gris,bleu,or,38000000.0
orange,gris,bleu,argent,38000000.0
orange,gris,violet,or,380000000.0
orange,gris,violet,argent,380000000.0
orange,gris,or,or,3.8000000000000003
orange,gris,or,argent,3.8000000000000003
orange,gris,argent,or,0.38
orange,gris,argent,argent,0.38
orange,blanc,noir,or,39.0
orange,blanc,noir,argent,39.0
orange,blanc,marron,or,390.0
orange,blanc,marron,argent,390.0
orange,blanc,rouge,or,3900.0
orange,blanc,rouge,argent,3900.0
orange,blanc,orange,or,39000.0
orange,blanc,orange,argent,39000.0
orange,blanc,jaune,or,390000.0
orange,blanc,jaune,argent,390000.0
orange,blanc,vert,or,3900000.0
orange,blanc,vert,argent,3900000.0
orange,blanc,bleu,or,39000000.0
orange,blanc,bleu,argent,39000000.0
orange,blanc,violet,or,390000000.0
orange,blanc,violet,argent,390000000.0
orange,blanc,or,or,3.9000000000000004
orange,blanc,or,argent,3.9000000000000004
orange,blanc,argent,or,0.39
orange,blanc,argent,argent,0.39
jaune,noir,noir,or,40.0
jaune,noir,noir,argent,40.0
